#WAVENUMBER	 TRANSMITTANCE
#cm^(-1)	 %
#DECIMALSYMBOL	 .
526.0459	 -0.0817
526.5281	 0.0970
527.0103	 0.3142
527.4924	 0.4116
527.9746	 0.4647
528.4568	 0.3205
528.9389	 0.1357
529.4211	 0.2346
529.9033	 0.2583
530.3854	 0.1667
530.8676	 0.2509
531.3498	 0.3266
531.8319	 0.2527
532.3141	 0.1384
532.7963	 0.0597
533.2784	 0.1285
533.7606	 0.1943
534.2428	 0.1644
534.7250	 0.1747
535.2071	 0.1770
535.6893	 0.1363
536.1715	 0.0668
536.6536	 0.0523
537.1358	 0.1072
537.6180	 0.1081
538.1001	 0.1629
538.5823	 0.3432
539.0645	 0.3346
539.5466	 0.1176
540.0288	 0.0372
540.5110	 0.0214
540.9931	 0.0354
541.4753	 0.0515
541.9575	 -0.0596
542.4397	 -0.0963
542.9218	 -0.0101
543.4040	 0.0961
543.8862	 0.1865
544.3683	 0.2399
544.8505	 0.1722
545.3327	 0.0353
545.8148	 0.0904
546.2970	 0.2095
546.7792	 0.2274
547.2613	 0.3091
547.7435	 0.2589
548.2257	 0.0278
548.7078	 0.0010
549.1900	 0.1932
549.6722	 0.3854
550.1543	 0.3229
550.6365	 0.1124
551.1187	 0.1495
551.6009	 0.1608
552.0830	 0.0182
552.5652	 0.0201
553.0474	 0.0683
553.5295	 0.0354
554.0117	 0.0609
554.4939	 0.1962
554.9760	 0.2326
555.4582	 0.1909
555.9404	 0.1784
556.4225	 0.1500
556.9047	 0.1454
557.3869	 0.1589
557.8690	 0.1834
558.3512	 0.1740
558.8334	 0.1279
559.3156	 0.1276
559.7977	 0.1357
560.2799	 0.1113
560.7621	 0.0985
561.2442	 0.0667
561.7264	 0.0103
562.2086	 0.0256
562.6907	 0.0760
563.1729	 0.0827
563.6551	 0.0312
564.1372	 0.0289
564.6194	 0.0681
565.1016	 0.0363
565.5837	 -0.0224
566.0659	 0.0268
566.5481	 0.1130
567.0302	 0.1456
567.5124	 0.2230
567.9946	 0.1898
568.4768	 0.1385
568.9589	 0.2206
569.4411	 0.2524
569.9233	 0.2119
570.4054	 0.1339
570.8876	 0.0544
571.3698	 0.1383
571.8519	 0.1905
572.3341	 0.0652
572.8163	 0.0839
573.2984	 0.2036
573.7806	 0.1686
574.2628	 0.0563
574.7449	 0.0602
575.2271	 0.0853
575.7093	 0.1184
576.1915	 0.2437
576.6736	 0.2291
577.1558	 0.1786
577.6380	 0.1999
578.1201	 0.1686
578.6023	 0.1635
579.0845	 0.1682
579.5666	 0.1038
580.0488	 0.0904
580.5310	 0.1218
581.0131	 0.1121
581.4953	 0.1188
581.9775	 0.1215
582.4596	 0.1208
582.9418	 0.1849
583.4240	 0.2633
583.9061	 0.2704
584.3883	 0.1977
584.8705	 0.1096
585.3527	 0.0794
585.8348	 0.0334
586.3170	 -0.0090
586.7992	 0.0653
587.2813	 0.1544
587.7635	 0.1804
588.2457	 0.0695
588.7278	 -0.0933
589.2100	 -0.0982
589.6922	 -0.0184
590.1743	 0.0444
590.6565	 0.0890
591.1387	 0.0828
591.6208	 0.0685
592.1030	 0.0420
592.5852	 0.0120
593.0674	 0.0787
593.5495	 0.1090
594.0317	 0.0219
594.5139	 -0.0086
594.9960	 0.0635
595.4782	 0.1205
595.9604	 0.1362
596.4425	 0.1203
596.9247	 0.0547
597.4069	 0.0383
597.8890	 0.1157
598.3712	 0.1012
598.8534	 0.0225
599.3355	 0.0224
599.8177	 0.0473
600.2999	 0.0738
600.7820	 0.0550
601.2642	 -0.0059
601.7464	 -0.0161
602.2286	 0.0310
602.7107	 0.0684
603.1929	 0.0687
603.6751	 0.0348
604.1572	 0.0255
604.6394	 0.0152
605.1216	 0.0297
605.6037	 0.1467
606.0859	 0.2041
606.5681	 0.1455
607.0502	 0.0801
607.5324	 0.0641
608.0146	 0.0676
608.4967	 0.0700
608.9789	 0.0709
609.4611	 0.0362
609.9433	 -0.0121
610.4254	 0.0096
610.9076	 0.1019
611.3898	 0.1193
611.8719	 0.0890
612.3541	 0.1168
612.8363	 0.1325
613.3184	 0.1081
613.8006	 0.1174
614.2828	 0.1126
614.7649	 0.0393
615.2471	 -0.0322
615.7293	 -0.0115
616.2114	 0.1007
616.6936	 0.1659
617.1758	 0.1374
617.6579	 0.1243
618.1401	 0.0903
618.6223	 0.0291
619.1045	 0.0197
619.5866	 0.0418
620.0688	 0.0835
620.5510	 0.1240
621.0331	 0.1124
621.5153	 0.0204
621.9975	 -0.0360
